pncp,orgao,assinatura,valor_global,duracao_dias,categoria,capital_social,idade_forn_anos,porte,simples,situacao_ativa,consorcio,razao_capital_valor,n_contratos_forn_dataset,n_termos_12m,rescindido_12m,acrescimo_12m,prazo_12m,label_adverso_12m,label_v1_sem_horizonte
00509018000113-2-000555/2025,TSE,2025-03-19,7308.2,365,Serviços,6000000,25.26,EMPRESA DE PEQUENO PORTE,0,1,0,820.995594,2,0,0,0.0,0,0,0
00509018000113-2-000564/2025,TSE,2025-03-25,585.44,281,Compras,50000,9.45,EMPRESA DE PEQUENO PORTE,1,1,0,85.405849,9,0,0,0.0,0,0,0
00509018000113-2-000574/2025,TSE,2025-03-26,2070.0,280,Serviços,40000,5.66,EMPRESA DE PEQUENO PORTE,1,1,0,19.323671,71,0,0,0.0,0,0,0
00509018000113-2-000575/2025,TSE,2025-03-27,356.82,279,Compras,150000,2.15,MICRO EMPRESA,1,1,0,420.380024,12,0,0,0.0,0,0,0
00509018000113-2-000576/2025,TSE,2025-03-27,30.4,279,Compras,150000,2.15,MICRO EMPRESA,1,1,0,4934.210526,12,0,0,0.0,0,0,0
00509018000113-2-000577/2025,TSE,2025-03-27,17964.0,279,Serviços,30000,34.38,EMPRESA DE PEQUENO PORTE,0,1,0,1.670007,63,0,0,0.0,0,0,0
00509018000113-2-000578/2025,TSE,2025-03-26,1200.0,280,Serviços,5000,3.83,EMPRESA DE PEQUENO PORTE,1,1,0,4.166667,10,0,0,0.0,0,0,0
00509018000113-2-000605/2025,TSE,2025-03-31,1218174.14,364,Serviços,1500000,15.44,DEMAIS,0,1,0,1.231351,3,4,0,0.0,91,0,0
00509018000113-2-000612/2025,TSE,2025-03-27,975.0,9,Compras,6000,30.45,MICRO EMPRESA,1,1,0,6.153846,3,0,0,0.0,0,0,0
00509018000113-2-000618/2025,TSE,2025-04-01,209000.0,1825,Serviços,830000,25.62,MICRO EMPRESA,0,1,0,3.971292,1,1,0,0.0,0,0,0
00509018000113-2-000619/2025,TSE,2025-03-31,4201.0,352,Serviços,10000,2.22,EMPRESA DE PEQUENO PORTE,1,1,0,2.380386,5,0,0,0.0,0,0,0
00509018000113-2-000620/2025,TSE,2025-04-01,415000.0,1825,Serviços,205000,20.05,EMPRESA DE PEQUENO PORTE,0,1,0,0.493976,1,2,0,0.0,0,0,0
00509018000113-2-000662/2025,TSE,2025-04-03,2310.0,364,Serviços,60000,18.71,MICRO EMPRESA,1,1,0,25.974026,3,0,0,0.0,0,0,0
00509018000113-2-000669/2025,TSE,2025-04-03,237998.4,730,Serviços,22836339000,32.94,DEMAIS,,1,0,95951.649255,25,0,0,0.0,0,0,0
00509018000113-2-000670/2025,TSE,2025-04-02,3197.0,273,Serviços,20000,10.58,EMPRESA DE PEQUENO PORTE,1,1,0,6.255865,50,0,0,0.0,0,0,0
00509018000113-2-000542/2025,TSE,2025-03-21,1454873.04,1096,Serviços,900000,22.0,EMPRESA DE PEQUENO PORTE,0,1,0,0.618611,2,0,0,0.0,0,0,0
00509018000113-2-000545/2025,TSE,2025-03-21,13398.0,285,Compras,88000,18.98,MICRO EMPRESA,1,1,0,6.568144,2,0,0,0.0,0,0,0
00509018000113-2-000570/2025,TSE,2025-03-26,27871.2,730,Serviços,100000,14.99,EMPRESA DE PEQUENO PORTE,1,1,0,3.587933,10,0,0,0.0,0,0,0
00509018000113-2-005931/2024,TSE,2024-04-11,33092.4,91,Serviços,3423447.2,30.18,DEMAIS,,1,0,103.451161,203,0,0,0.0,0,0,0
00509018000113-2-005932/2024,TSE,2024-08-02,6636.0,1,Serviços,20000,13.83,MICRO EMPRESA,1,1,0,3.013864,6,0,0,0.0,0,0,0
00509018000113-2-005933/2024,TSE,2024-02-29,29940.0,182,Serviços,205000,4.7,DEMAIS,,1,0,6.847027,111,0,0,0.0,0,0,0
00509018000113-2-000568/2025,TSE,2025-03-26,24990.0,365,Serviços,200000,8.99,MICRO EMPRESA,1,1,0,8.003201,39,0,0,0.0,0,0,0
00509018000113-2-000569/2025,TSE,2025-03-26,0,1826,Serviços,2988161800,58.51,DEMAIS,,1,0,,4,0,0,0,0,0,0
00509018000113-2-000626/2025,TSE,2025-03-31,12898.6,1825,Serviços,400000,23.05,EMPRESA DE PEQUENO PORTE,1,1,0,31.011117,1,0,0,0.0,0,0,0
00509018000113-2-000627/2025,TSE,2025-03-31,2070.0,205,Serviços,50000,4.49,MICRO EMPRESA,1,1,0,24.154589,11,0,0,0.0,0,0,0
00509018000113-2-000628/2025,TSE,2025-03-01,1274015.36,364,Serviços de Engenharia,200000,4.64,MICRO EMPRESA,0,1,0,0.156984,1,0,0,0.0,0,0,0
00509018000113-2-000650/2025,TSE,2025-03-27,2000.0,90,Serviços,10000,19.22,MICRO EMPRESA,,1,0,5.0,2,0,0,0.0,0,0,0
00509018000113-2-000711/2025,TSE,2025-04-07,33750.0,268,Compras,150000,2.81,EMPRESA DE PEQUENO PORTE,1,1,0,4.444444,8,0,0,0.0,0,0,0
00509018000113-2-000712/2025,TSE,2025-04-07,68078.25,268,Compras,17000000,18.65,DEMAIS,,1,0,249.712647,2,0,0,0.0,0,0,0
00509018000113-2-000604/2025,TSE,2025-03-28,9048.0,275,Compras,90000,9.53,EMPRESA DE PEQUENO PORTE,1,1,0,9.94695,3,0,0,0.0,0,0,0
00509018000113-2-000629/2025,TSE,2025-02-27,1319672.22,364,Serviços de Engenharia,1000000,10.28,DEMAIS,0,1,0,0.757764,10,1,0,0.0,31,0,0
